Student ID,English,History,Math,Physical Education,Science,Average,WeightedAverage,Status
96,50,85,50,95,50,66.0,50.0,Fail
97,85,75,50,65,50,65.0,60.5,Fail
98,95,75,50,65,50,67.0,63.5,Fail
99,50,75,75,50,95,69.0,73.5,Fail
100,95,85,65,75,75,79.0,77.0,Pass
101,75,85,50,50,75,67.0,65.0,Fail
102,75,85,85,50,50,69.0,71.5,Fail
103,65,50,65,65,75,64.0,68.0,Fail
104,95,95,50,65,50,71.0,63.5,Fail
105,75,50,75,75,85,72.0,78.0,Pass
106,85,50,85,85,65,74.0,79.0,Pass
107,65,65,65,50,65,62.0,65.0,Fail
108,85,65,95,65,65,75.0,83.0,Pass
109,75,50,50,85,95,71.0,71.0,Fail
110,50,95,85,75,65,74.0,68.5,Fail
111,50,75,95,95,50,73.0,68.0,Fail
112,65,65,65,75,50,64.0,60.5,Fail
113,50,65,75,75,95,72.0,73.5,Fail
114,95,95,85,75,65,83.0,82.0,Pass
115,95,75,75,95,95,87.0,87.0,Pass
116,95,75,65,75,85,79.0,80.0,Pass
117,95,75,85,75,50,76.0,77.5,Pass
118,95,50,65,75,85,74.0,80.0,Pass
119,85,75,85,85,75,81.0,82.0,Pass
120,50,75,75,85,65,70.0,64.5,Fail
121,85,65,95,75,65,77.0,83.0,Pass
122,50,50,95,50,65,62.0,72.5,Fail
123,75,50,85,75,50,67.0,71.5,Fail
124,95,50,95,85,85,82.0,92.0,Pass
125,75,50,65,75,95,72.0,77.0,Pass
126,85,95,85,95,65,85.0,79.0,Pass
127,65,50,50,50,50,53.0,54.5,Fail
128,85,95,65,75,50,74.0,66.5,Fail
129,65,95,75,50,85,74.0,75.0,Pass
130,75,75,50,50,85,67.0,68.0,Fail
131,85,50,75,65,95,74.0,84.0,Pass
132,65,75,95,65,50,70.0,72.5,Fail
133,75,75,85,75,50,72.0,71.5,Fail
134,50,95,95,75,50,73.0,68.0,Fail
135,75,65,75,95,85,79.0,78.0,Pass
136,75,50,85,95,85,78.0,82.0,Pass
137,75,50,95,75,65,72.0,80.0,Pass
138,50,95,75,65,65,70.0,64.5,Fail
139,50,65,65,85,75,68.0,63.5,Fail
140,85,50,65,50,95,69.0,80.0,Pass
141,50,75,50,65,75,63.0,57.5,Fail
142,95,75,85,85,75,83.0,85.0,Pass
143,85,65,85,75,85,79.0,85.0,Pass
144,85,65,95,85,95,85.0,92.0,Pass
145,95,75,95,75,95,87.0,95.0,Pass
146,85,95,95,95,50,84.0,78.5,Pass
147,75,95,85,85,65,81.0,76.0,Pass
148,85,50,85,50,65,67.0,79.0,Pass
149,75,95,85,85,65,81.0,76.0,Pass
150,65,75,85,95,75,79.0,76.0,Pass
151,50,75,50,95,95,73.0,63.5,Fail
152,65,95,50,50,50,62.0,54.5,Fail
153,85,50,50,85,85,71.0,71.0,Fail
154,95,95,95,65,75,85.0,89.0,Pass
155,65,85,65,50,85,70.0,71.0,Fail
156,85,95,85,65,85,83.0,85.0,Pass
157,85,75,85,75,85,81.0,85.0,Pass
158,95,65,95,85,50,78.0,81.5,Pass
159,65,65,75,50,85,68.0,75.0,Pass
160,65,85,65,85,50,70.0,60.5,Fail
161,85,95,95,75,95,89.0,92.0,Pass
162,75,50,85,65,95,74.0,85.0,Pass
163,65,85,50,85,75,72.0,62.0,Fail
164,65,95,75,95,85,83.0,75.0,Pass
165,85,50,50,50,50,57.0,60.5,Fail
166,85,50,85,65,50,67.0,74.5,Fail
167,75,75,65,65,50,66.0,63.5,Fail
168,65,50,85,65,95,72.0,82.0,Pass
169,50,75,85,65,65,68.0,68.5,Fail
170,50,95,65,75,85,74.0,66.5,Fail
171,85,75,50,85,50,69.0,60.5,Fail
172,65,75,75,95,95,81.0,78.0,Pass
173,75,95,50,75,50,69.0,57.5,Fail
174,95,50,50,75,85,71.0,74.0,Fail
175,65,65,65,65,50,62.0,60.5,Fail
176,95,50,50,85,50,66.0,63.5,Fail
177,75,75,95,50,85,76.0,86.0,Pass
178,50,75,75,95,65,72.0,64.5,Fail
179,85,50,95,50,50,66.0,78.5,Pass
180,85,75,85,50,85,76.0,85.0,Pass
181,50,85,95,95,50,75.0,68.0,Fail
182,95,85,85,65,65,79.0,82.0,Pass
183,95,75,50,85,50,71.0,63.5,Fail
184,95,75,75,75,85,81.0,84.0,Pass
185,85,85,50,95,50,73.0,60.5,Fail
186,85,50,85,50,75,69.0,82.0,Pass
187,95,95,65,75,75,81.0,77.0,Pass
188,95,50,85,65,50,69.0,77.5,Pass
189,95,95,50,50,75,73.0,71.0,Fail
190,95,95,95,85,95,93.0,95.0,Pass
191,75,85,50,65,65,68.0,62.0,Fail
192,95,50,65,65,85,72.0,80.0,Pass
193,50,65,50,95,75,67.0,57.5,Fail
194,75,75,65,50,95,72.0,77.0,Pass
195,85,85,50,95,95,82.0,74.0,Fail
196,75,75,85,65,95,79.0,85.0,Pass
197,95,75,75,95,95,87.0,87.0,Pass
198,85,50,75,50,50,62.0,70.5,Fail
199,65,50,95,95,65,74.0,77.0,Pass
200,85,50,75,50,85,69.0,81.0,Pass
201,50,50,65,95,95,71.0,69.5,Fail
202,50,95,65,85,50,69.0,56.0,Fail
203,65,50,75,85,50,65.0,64.5,Fail
204,50,50,65,50,95,62.0,69.5,Fail
205,95,65,95,50,50,71.0,81.5,Pass
206,95,50,95,65,95,80.0,95.0,Pass
207,95,85,65,65,50,72.0,69.5,Fail
208,50,75,95,75,50,69.0,68.0,Fail
209,75,50,95,65,65,70.0,80.0,Pass
210,65,65,95,50,50,65.0,72.5,Fail
211,50,65,95,95,95,80.0,81.5,Pass
212,85,50,85,95,50,73.0,74.5,Fail
213,50,75,75,50,95,69.0,73.5,Fail
214,65,95,65,50,50,65.0,60.5,Fail
215,85,50,50,65,65,63.0,65.0,Fail
216,95,95,50,75,50,73.0,63.5,Fail
217,95,50,75,85,85,78.0,84.0,Pass
218,65,75,85,65,65,71.0,73.0,Fail
219,95,50,50,85,95,75.0,77.0,Pass
220,50,65,95,50,50,62.0,68.0,Fail
221,85,95,95,85,85,89.0,89.0,Pass
222,50,95,95,75,75,78.0,75.5,Pass
223,65,95,50,65,95,74.0,68.0,Fail
224,85,65,65,95,65,75.0,71.0,Fail
225,95,65,75,95,85,83.0,84.0,Pass
226,65,65,85,85,50,70.0,68.5,Fail
227,85,95,75,65,75,79.0,78.0,Pass
228,75,95,95,75,75,83.0,83.0,Pass
229,50,50,85,65,95,69.0,77.5,Pass
230,75,50,95,75,75,74.0,83.0,Pass
231,75,50,75,50,75,65.0,75.0,Pass
232,50,65,75,85,85,72.0,70.5,Fail
233,50,65,95,50,75,67.0,75.5,Pass
234,65,75,75,50,85,70.0,75.0,Pass
235,75,85,50,85,95,78.0,71.0,Fail
236,50,95,65,85,75,74.0,63.5,Fail
237,75,95,85,65,65,77.0,76.0,Pass
238,75,75,75,65,95,77.0,81.0,Pass
239,95,65,65,95,75,79.0,77.0,Pass
240,85,65,75,95,75,79.0,78.0,Pass
241,50,95,75,50,50,64.0,60.0,Fail
242,50,65,65,65,65,62.0,60.5,Fail
243,50,85,50,85,75,69.0,57.5,Fail
244,75,95,65,65,50,70.0,63.5,Fail
245,95,65,65,85,85,79.0,80.0,Pass
246,50,65,75,75,50,63.0,60.0,Fail
247,85,95,85,50,75,78.0,82.0,Pass
248,50,65,85,95,75,74.0,71.5,Fail
249,75,85,85,95,50,78.0,71.5,Fail
250,95,75,85,95,65,83.0,82.0,Pass
251,75,85,65,95,95,83.0,77.0,Pass
252,95,65,85,65,85,79.0,88.0,Pass
253,75,50,95,85,75,76.0,83.0,Pass
254,95,50,75,65,85,74.0,84.0,Pass
255,50,85,75,65,95,74.0,73.5,Fail
256,50,75,65,85,75,70.0,63.5,Fail
257,95,95,85,65,50,78.0,77.5,Pass
258,65,85,75,75,65,73.0,69.0,Fail
259,65,65,85,95,85,79.0,79.0,Pass
260,95,85,75,65,65,77.0,78.0,Pass
261,95,50,50,95,50,68.0,63.5,Fail
262,95,85,50,95,75,80.0,71.0,Fail
263,95,75,85,75,95,85.0,91.0,Pass
264,65,85,50,75,85,72.0,65.0,Fail
265,50,95,95,65,65,74.0,72.5,Fail
266,65,50,50,75,50,58.0,54.5,Fail
267,85,75,75,95,75,81.0,78.0,Pass
268,65,75,85,65,95,77.0,82.0,Pass
269,85,50,85,85,75,76.0,82.0,Pass
270,50,65,75,65,75,66.0,67.5,Fail
271,75,75,65,65,65,69.0,68.0,Fail
272,75,85,85,75,85,81.0,82.0,Pass
273,65,65,50,50,65,59.0,59.0,Fail
274,85,50,95,85,75,78.0,86.0,Pass
275,95,85,50,95,95,84.0,77.0,Pass
276,95,75,75,50,85,76.0,84.0,Pass
277,95,95,75,85,50,80.0,73.5,Fail
278,85,50,75,50,65,65.0,75.0,Pass
279,85,65,65,95,95,81.0,80.0,Pass
280,50,50,65,50,65,56.0,60.5,Fail
281,85,75,75,95,50,76.0,70.5,Fail
282,65,50,65,50,50,56.0,60.5,Fail
283,65,85,85,85,75,79.0,76.0,Pass
284,95,65,65,65,75,73.0,77.0,Pass
285,75,65,65,85,65,71.0,68.0,Fail
286,95,65,75,85,50,74.0,73.5,Fail
287,50,95,50,50,50,59.0,50.0,Fail
288,85,75,75,75,50,72.0,70.5,Fail
289,85,95,85,75,50,78.0,74.5,Fail
290,95,85,95,95,50,84.0,81.5,Pass
291,50,95,50,65,95,71.0,63.5,Fail
292,50,50,95,75,95,73.0,81.5,Pass
293,65,85,65,95,95,81.0,74.0,Fail
294,75,95,50,95,75,78.0,65.0,Fail
295,50,65,75,85,50,65.0,60.0,Fail
296,85,95,75,75,50,76.0,70.5,Fail
297,50,50,50,85,75,62.0,57.5,Fail
298,65,85,65,50,65,66.0,65.0,Fail
299,50,95,50,75,50,64.0,50.0,Fail
300,65,75,75,85,65,73.0,69.0,Fail
301,65,65,50,85,65,66.0,59.0,Fail
302,50,75,65,65,50,61.0,56.0,Fail
303,75,65,85,95,75,79.0,79.0,Pass
304,95,75,85,65,50,74.0,77.5,Pass
305,95,50,65,85,75,74.0,77.0,Pass
306,65,65,75,85,75,73.0,72.0,Fail
307,50,65,85,65,85,70.0,74.5,Fail
308,75,95,50,95,65,76.0,62.0,Fail
309,50,50,75,65,65,61.0,64.5,Fail
310,95,65,85,50,95,78.0,91.0,Pass
311,95,65,85,50,95,78.0,91.0,Pass
312,75,85,95,95,50,80.0,75.5,Pass
313,85,95,65,85,95,85.0,80.0,Pass
314,75,75,50,50,65,63.0,62.0,Fail
315,85,85,65,85,75,79.0,74.0,Fail
316,95,95,65,95,50,80.0,69.5,Fail
317,95,65,50,95,75,76.0,71.0,Fail
318,85,85,75,65,50,72.0,70.5,Fail
319,75,95,85,95,65,83.0,76.0,Pass
320,50,85,75,50,50,62.0,60.0,Fail
321,85,50,95,95,50,75.0,78.5,Pass
322,95,95,65,75,65,79.0,74.0,Fail
323,65,65,95,65,95,77.0,86.0,Pass
324,75,50,75,65,95,72.0,81.0,Pass
325,50,75,50,75,65,63.0,54.5,Fail
326,75,75,85,75,65,75.0,76.0,Pass
327,65,75,95,75,85,79.0,83.0,Pass
328,95,85,50,75,85,78.0,74.0,Fail
329,65,50,85,95,50,69.0,68.5,Fail
330,65,85,85,95,85,83.0,79.0,Pass
331,65,85,65,65,85,73.0,71.0,Fail
332,65,50,85,65,50,63.0,68.5,Fail
333,85,75,50,50,65,65.0,65.0,Fail
334,50,65,95,75,50,67.0,68.0,Fail
335,50,95,65,65,75,70.0,63.5,Fail
336,95,85,95,75,75,85.0,89.0,Pass
337,95,85,65,65,95,81.0,83.0,Pass
338,95,50,50,75,65,67.0,68.0,Fail
339,95,50,95,65,50,71.0,81.5,Pass
340,85,50,85,85,95,80.0,88.0,Pass
341,65,95,65,85,95,81.0,74.0,Fail
342,75,65,50,75,75,68.0,65.0,Fail
343,50,50,65,65,65,59.0,60.5,Fail
344,75,65,75,65,85,73.0,78.0,Pass
345,50,50,65,50,50,53.0,56.0,Fail
346,65,85,75,85,95,81.0,78.0,Pass
347,85,65,50,65,50,63.0,60.5,Fail
348,95,85,95,75,95,89.0,95.0,Pass
349,85,65,50,50,95,69.0,74.0,Fail
350,75,65,95,85,75,79.0,83.0,Pass
351,50,95,50,75,50,64.0,50.0,Fail
352,95,95,50,50,50,68.0,63.5,Fail
353,50,50,85,85,50,64.0,64.0,Fail
354,75,75,75,85,50,72.0,67.5,Fail
355,50,50,50,65,65,56.0,54.5,Fail
356,95,75,50,75,85,76.0,74.0,Fail
357,95,85,75,65,95,83.0,87.0,Pass
358,75,95,95,65,75,81.0,83.0,Pass
359,75,75,75,50,50,65.0,67.5,Fail
360,75,95,95,95,65,85.0,80.0,Pass
361,65,95,65,85,50,72.0,60.5,Fail
362,95,85,85,50,75,78.0,85.0,Pass
363,65,65,95,50,50,65.0,72.5,Fail
364,50,50,65,85,50,60.0,56.0,Fail
365,50,85,65,95,75,74.0,63.5,Fail
366,85,95,65,85,65,79.0,71.0,Fail
367,85,75,95,65,75,79.0,86.0,Pass
368,95,50,50,95,50,68.0,63.5,Fail
369,95,75,75,75,95,83.0,87.0,Pass
370,65,50,85,50,95,69.0,82.0,Pass
371,75,75,85,50,85,74.0,82.0,Pass
372,85,50,50,85,65,67.0,65.0,Fail
373,65,95,50,50,95,71.0,68.0,Fail
374,65,85,50,75,50,65.0,54.5,Fail
375,50,75,95,50,75,69.0,75.5,Pass
376,65,65,85,95,85,79.0,79.0,Pass
377,65,65,75,85,50,68.0,64.5,Fail
378,65,85,50,50,65,63.0,59.0,Fail
379,85,95,65,85,65,79.0,71.0,Fail
380,85,50,85,50,65,67.0,79.0,Pass
381,85,85,75,65,95,81.0,84.0,Pass
382,85,75,95,75,65,79.0,83.0,Pass
383,95,95,75,65,95,85.0,87.0,Pass
384,65,85,65,95,95,81.0,74.0,Fail
385,95,50,65,50,95,71.0,83.0,Pass
386,95,50,85,75,50,71.0,77.5,Pass
387,85,65,95,75,50,74.0,78.5,Pass
388,85,50,50,85,50,64.0,60.5,Fail
389,50,50,85,65,65,63.0,68.5,Fail
390,50,65,75,85,50,65.0,60.0,Fail
391,75,95,95,75,75,83.0,83.0,Pass
392,85,65,65,50,50,63.0,66.5,Fail
393,75,65,75,75,75,73.0,75.0,Pass
394,75,85,75,85,50,74.0,67.5,Fail
395,50,95,75,75,50,69.0,60.0,Fail
396,50,65,65,65,85,66.0,66.5,Fail
397,85,85,50,65,50,67.0,60.5,Fail
398,95,85,95,95,85,91.0,92.0,Pass
399,75,85,65,75,95,79.0,77.0,Pass
400,75,65,65,65,85,71.0,74.0,Fail
401,75,95,85,65,75,79.0,79.0,Pass
402,75,75,95,75,65,77.0,80.0,Pass
403,95,95,50,85,75,80.0,71.0,Fail
404,50,65,75,85,75,70.0,67.5,Fail
405,95,85,50,85,75,78.0,71.0,Fail
406,50,85,75,75,50,67.0,60.0,Fail
407,95,65,95,85,75,83.0,89.0,Pass
408,85,50,95,65,95,78.0,92.0,Pass
409,85,65,95,65,95,81.0,92.0,Pass
410,75,75,85,75,85,79.0,82.0,Pass
411,65,95,85,65,75,77.0,76.0,Pass
412,85,75,50,65,95,74.0,74.0,Fail
413,85,65,85,85,65,77.0,79.0,Pass
414,75,50,95,75,95,78.0,89.0,Pass
415,75,50,75,95,75,74.0,75.0,Pass
416,65,50,50,65,85,63.0,65.0,Fail
417,85,50,85,85,50,71.0,74.5,Fail
418,85,85,85,75,50,76.0,74.5,Fail
419,85,75,65,95,65,77.0,71.0,Fail
420,65,75,65,65,95,73.0,74.0,Fail
421,95,75,95,50,50,73.0,81.5,Pass
422,75,85,85,50,85,76.0,82.0,Pass
423,95,65,95,75,65,79.0,86.0,Pass
424,50,50,65,85,65,63.0,60.5,Fail
425,65,50,95,95,85,78.0,83.0,Pass
426,65,65,95,85,65,75.0,77.0,Pass
427,95,50,50,85,50,66.0,63.5,Fail
428,75,65,95,95,95,85.0,89.0,Pass
429,85,95,75,50,85,78.0,81.0,Pass
430,50,75,95,95,75,78.0,75.5,Pass
431,95,75,50,65,50,67.0,63.5,Fail
432,75,75,65,75,65,71.0,68.0,Fail
433,50,65,50,85,95,69.0,63.5,Fail
434,50,50,65,75,85,65.0,66.5,Fail
435,75,85,65,75,95,79.0,77.0,Pass
436,50,85,85,95,75,78.0,71.5,Fail
437,50,50,95,65,75,67.0,75.5,Pass
438,65,75,95,50,95,76.0,86.0,Pass
439,75,65,95,75,50,72.0,75.5,Pass
440,75,95,85,65,95,83.0,85.0,Pass
441,65,65,75,65,75,69.0,72.0,Fail
442,85,95,75,75,95,85.0,84.0,Pass
443,65,95,65,50,75,70.0,68.0,Fail
444,95,85,95,75,85,87.0,92.0,Pass
445,50,95,85,50,95,75.0,77.5,Pass
446,75,95,85,50,85,78.0,82.0,Pass
447,95,95,65,50,65,74.0,74.0,Fail
448,65,75,65,85,75,73.0,68.0,Fail
449,75,75,50,50,50,60.0,57.5,Fail
450,65,50,50,95,85,69.0,65.0,Fail
451,95,95,85,95,85,91.0,88.0,Pass
452,65,65,85,85,95,79.0,82.0,Pass
453,65,85,95,85,75,81.0,80.0,Pass
454,75,50,65,95,65,70.0,68.0,Fail
455,85,50,50,95,85,73.0,71.0,Fail
456,50,65,85,75,75,70.0,71.5,Fail
457,85,85,65,75,75,77.0,74.0,Fail
458,50,65,75,75,75,68.0,67.5,Fail
459,85,85,50,75,95,78.0,74.0,Fail
460,75,95,65,75,50,72.0,63.5,Fail
461,85,50,95,95,95,84.0,92.0,Pass
462,50,75,85,95,95,80.0,77.5,Pass
463,65,95,75,65,85,77.0,75.0,Pass
464,50,65,65,85,65,66.0,60.5,Fail
465,50,95,65,95,85,78.0,66.5,Fail
466,75,95,50,95,65,76.0,62.0,Fail
467,50,95,65,85,50,69.0,56.0,Fail
468,75,75,95,75,85,81.0,86.0,Pass
469,65,95,75,50,75,72.0,72.0,Fail
470,85,75,95,50,95,80.0,92.0,Pass
471,75,65,85,50,85,72.0,82.0,Pass
472,65,65,65,95,75,73.0,68.0,Fail
473,50,65,50,75,50,58.0,50.0,Fail
474,50,65,65,50,95,65.0,69.5,Fail
475,75,50,95,50,50,64.0,75.5,Pass
476,95,50,95,50,95,77.0,95.0,Pass
477,65,75,65,75,65,69.0,65.0,Fail
478,75,50,50,50,95,64.0,71.0,Fail
479,65,95,50,75,75,72.0,62.0,Fail
480,75,95,85,50,95,80.0,85.0,Pass
481,50,85,65,50,75,65.0,63.5,Fail
482,75,75,95,50,65,72.0,80.0,Pass
483,75,75,85,65,65,73.0,76.0,Pass
484,50,50,75,65,50,58.0,60.0,Fail
485,85,50,95,95,75,80.0,86.0,Pass
486,95,50,75,65,50,67.0,73.5,Fail
487,50,85,85,75,50,69.0,64.0,Fail
488,95,50,50,85,75,71.0,71.0,Fail
489,85,95,65,50,65,72.0,71.0,Fail
490,50,85,85,75,85,76.0,74.5,Fail
491,50,85,95,50,65,69.0,72.5,Fail
492,95,75,85,50,75,76.0,85.0,Pass
493,50,50,65,50,75,58.0,63.5,Fail
494,85,75,65,95,95,83.0,80.0,Pass
495,85,50,85,75,75,74.0,82.0,Pass
496,65,50,50,50,50,53.0,54.5,Fail
497,85,50,75,50,85,69.0,81.0,Pass
498,85,75,85,75,50,74.0,74.5,Fail
499,50,65,75,75,65,66.0,64.5,Fail
500,75,50,75,50,65,63.0,72.0,Fail
501,75,65,75,65,95,75.0,81.0,Pass
502,65,75,95,65,65,73.0,77.0,Pass
503,50,85,75,85,95,78.0,73.5,Fail
504,65,50,95,85,50,69.0,72.5,Fail
505,85,95,95,85,75,87.0,86.0,Pass
506,50,50,95,95,95,77.0,81.5,Pass
507,75,85,75,75,95,81.0,81.0,Pass
508,85,95,95,95,75,89.0,86.0,Pass
509,85,65,75,75,85,77.0,81.0,Pass
510,50,50,65,50,95,62.0,69.5,Fail
511,95,85,95,75,95,89.0,95.0,Pass
512,75,65,85,65,50,68.0,71.5,Fail
513,85,95,95,75,65,83.0,83.0,Pass
514,75,75,75,50,65,68.0,72.0,Fail
515,85,95,75,65,95,83.0,84.0,Pass
516,95,65,75,85,75,79.0,81.0,Pass
517,95,50,95,75,65,76.0,86.0,Pass
518,75,75,85,75,75,77.0,79.0,Pass
519,50,85,75,50,50,62.0,60.0,Fail
520,65,50,50,95,65,65.0,59.0,Fail
521,75,85,50,50,95,71.0,71.0,Fail
522,95,95,65,95,75,85.0,77.0,Pass
523,85,75,75,65,95,79.0,84.0,Pass
524,50,65,65,75,95,70.0,69.5,Fail
525,50,75,50,95,50,64.0,50.0,Fail
526,85,95,65,50,75,74.0,74.0,Fail
527,65,75,75,65,95,75.0,78.0,Pass
528,50,95,65,50,85,69.0,66.5,Fail
529,50,95,95,65,75,76.0,75.5,Pass
530,95,85,95,75,75,85.0,89.0,Pass
531,65,75,50,95,65,70.0,59.0,Fail
532,65,95,65,75,85,77.0,71.0,Fail
533,65,75,75,75,50,68.0,64.5,Fail
534,95,95,95,65,65,83.0,86.0,Pass
535,95,85,75,50,50,71.0,73.5,Fail
536,65,85,85,95,75,81.0,76.0,Pass
537,65,75,85,75,75,75.0,76.0,Pass
538,75,95,85,75,65,79.0,76.0,Pass
539,75,65,50,50,50,58.0,57.5,Fail
540,75,75,65,75,50,68.0,63.5,Fail
541,50,50,65,75,95,67.0,69.5,Fail
542,85,65,95,50,95,78.0,92.0,Pass
543,95,85,75,50,95,80.0,87.0,Pass
544,75,65,50,95,85,74.0,68.0,Fail
545,95,50,85,95,65,78.0,82.0,Pass
546,50,95,65,65,85,72.0,66.5,Fail
547,85,95,75,50,65,74.0,75.0,Pass
548,75,65,85,85,85,79.0,82.0,Pass
549,75,95,95,85,85,87.0,86.0,Pass
550,50,50,65,85,50,60.0,56.0,Fail
551,50,85,75,65,75,70.0,67.5,Fail
552,50,85,85,85,50,71.0,64.0,Fail
553,65,75,85,50,95,74.0,82.0,Pass
554,75,65,85,65,50,68.0,71.5,Fail
555,75,75,75,85,65,75.0,72.0,Fail
556,75,50,75,95,85,76.0,78.0,Pass
557,95,75,50,75,75,74.0,71.0,Fail
558,50,85,75,95,65,74.0,64.5,Fail
559,75,65,75,85,65,73.0,72.0,Fail
560,50,65,95,75,65,70.0,72.5,Fail
561,75,95,95,50,85,80.0,86.0,Pass
562,65,95,85,85,95,85.0,82.0,Pass
563,75,85,65,50,65,68.0,68.0,Fail
564,50,65,65,85,75,68.0,63.5,Fail
565,65,95,75,95,85,83.0,75.0,Pass
566,65,75,75,50,95,72.0,78.0,Pass
567,95,75,95,50,65,76.0,86.0,Pass
568,95,95,50,50,50,68.0,63.5,Fail
569,50,95,50,95,95,77.0,63.5,Fail
570,50,50,65,85,85,67.0,66.5,Fail
571,50,65,75,85,65,68.0,64.5,Fail
572,85,65,75,65,50,68.0,70.5,Fail
573,50,65,65,75,95,70.0,69.5,Fail
574,50,85,75,65,85,72.0,70.5,Fail
575,75,75,50,75,65,68.0,62.0,Fail
576,65,95,95,50,75,76.0,80.0,Pass
577,75,50,95,85,65,74.0,80.0,Pass
578,85,65,85,85,65,77.0,79.0,Pass
579,95,65,50,95,50,71.0,63.5,Fail
580,50,75,85,85,65,72.0,68.5,Fail
